ID,NAME,POS,TEAM,ORG,LEAGUE,LEVEL,AGE,CURRENT,POTENTIAL,PITCH DIFF CURRENT,PITCH DIFF POT,BAT DIFF CURRENT,BAT DIF POT,START OVR CUR,START OVR POT,RELIEF OVR CUR,RELIEF OVR POT,BAT OVR CUR,BAT OVR POT,START BASE CUR,START INDIV CUR,START BASE POT, START INDIV POT,RELIEF BASE CUR,RELIEF INDIV CUR,RELIEF BASE POT,RELIEF INDIV POT,BAT HIT CUR,BAT FIELD CUR,BAT HIT POT,BAT FIELD POT,BATTER WAR,PITCHER WAR,MLB YEARS,WORK ETHIC,INTELLIGENCE,LEADER,GREED,LOYALTY,PERSONALITY
3910,Pedro Herrera,SP,Jacksonville,Miami,SL,AA,27,1.5,1.5,0,0,0,0,66,79,52,73,0,0,42,60,53,89,28,60,46,89,0,0,0,0,-100,-100,0,Low,Normal,Normal,Normal, Normal,Normal
3916,Fernando Gutiérrez,SP,Tampa Bay,Tampa Bay,PBL,MLB,27,4.5,5.0,-1,-1,0,0,120,120,117,117,0,0,94,124,94,124,93,124,93,124,0,0,0,0,0.0,3.8,5,High,Normal,Normal,Low, Normal,Normal
3918,Germán Rodríguez,SP,Chicago,Chicago,PBL,MLB,29,2.5,2.5,-1,-1,0,0,100,100,94,94,0,0,74,111,74,111,67,111,67,111,0,0,0,0,0.0,0.2,3,Normal,Normal,Normal,Normal, Normal,Normal
3927,Carlos Ramos,SP,Eugene,San Diego,NWL,A-,27,1.5,1.5,0,0,0,0,74,74,53,54,0,0,55,42,55,45,35,42,35,45,0,0,0,0,-100,-100,0,Normal,Normal,Normal,Low, Normal,Normal
3933,Declan North,RP,-,-,-,-,27,2.5,2.5,1,1,0,0,101,101,98,98,0,0,75,107,75,107,73,107,73,107,0,0,0,0,-100,-100,0,Normal,Normal,Normal,Normal, Normal,Normal
3934,Juan Márquez,SP,Fort Wayne,San Diego,MID,A,27,1.5,1.5,-1,-1,0,0,67,67,47,47,0,0,46,46,46,46,27,46,27,46,0,0,0,0,-100,-100,0,High,Normal,High,Normal, High,Normal
3935,Gilberto Molina,SP,-,-,-,-,29,2.5,2.5,-1,-1,0,0,96,97,95,99,0,0,72,91,72,94,75,91,79,94,0,0,0,0,-100,-100,3,Normal,Normal,Low,High, Low,Selfish
3937,Ángelo Escobedo,2B,Buffalo,New York,IL,AAA,28,2.0,2.0,0,0,1,1,0,0,0,0,97,97,0,0,0,0,0,0,0,0,88,123,88,123,-100,-100,0,Normal,Low,Normal,High, Normal,Outspoken
3939,Mokichi Goto,SP,Carolina,Carolina,PBL,MLB,27,2.0,2.5,-1,-1,0,0,90,96,79,89,0,0,63,101,67,124,51,101,56,124,0,0,0,0,0.0,-0.5,3,Normal,Normal,Normal,Low, Normal,Humble
3940,Malcolm Thorne,SP,-,-,-,-,28,2.0,2.0,0,0,0,0,90,90,87,87,0,0,65,93,65,93,64,93,64,93,0,0,0,0,0.0,-0.3,3,Normal,Normal,Normal,Low, Normal,Normal
3942,Tim Rosas,LF,South Bend,Arizona,MID,A,27,1.5,1.5,0,0,0,0,0,0,0,0,81,81,0,0,0,0,0,0,0,0,75,114,75,114,-100,-100,0,High,Normal,Normal,Low, Normal,Normal
3944,Isoruko Takahashi,2B,-,-,-,-,28,1.5,1.5,0,0,0,0,0,0,0,0,89,89,0,0,0,0,0,0,0,0,85,95,85,95,-100,-100,2,High,Normal,Normal,Normal, Normal,Sparkplug
3945,Carlos Colón,RF,Oakland,Oakland,PBL,MLB,27,2.5,2.5,0,0,0,0,0,0,0,0,98,98,0,0,0,0,0,0,0,0,95,132,95,132,0.8,0.0,3,Normal,High,Normal,High, Normal,Normal
3946,Miguel Angel Reyes,C,Kansas City,Kansas City,PBL,MLB,27,2.0,2.0,0,0,0,0,0,0,0,0,110,110,0,0,0,0,0,0,0,0,79,137,79,137,-1.4,0.0,3,High,Normal,High,Normal, Low,Sparkplug
3948,Bernardo Ramos,2B,-,-,-,-,28,2.0,2.0,0,0,0,0,0,0,0,0,94,95,0,0,0,0,0,0,0,0,77,151,78,151,-100,-100,1,Normal,Normal,Normal,Normal, Normal,Normal
3950,Gilberto Vásquez,SP,Los Angeles,Los Angeles,PBL,MLB,28,4.0,4.0,0,0,0,0,120,120,120,121,0,0,99,97,99,101,107,97,107,101,0,0,0,0,0.0,4.7,6,Low,Normal,Normal,Normal, Low,Normal
3951,Javier Ortega,1B,Colorado,Colorado,PBL,MLB,27,3.0,3.0,0,0,0,0,0,0,0,0,99,99,0,0,0,0,0,0,0,0,103,55,103,55,3.4,0.0,2,Normal,High,Low,Low, Normal,Normal
3952,Ramón Costello,SS,-,-,-,-,27,2.0,2.0,0,0,0,0,0,0,0,0,84,84,0,0,0,0,0,0,0,0,64,153,64,153,-100,-100,0,Normal,Normal,Normal,Normal, Normal,Normal
3953,Iván Sánchez,RF,Seattle,Seattle,PBL,MLB,27,2.5,2.5,0,0,0,0,0,0,0,0,90,90,0,0,0,0,0,0,0,0,86,135,86,135,-0.3,0.0,5,Normal,Normal,Low,Normal, Normal,Normal
3954,Héctor Rosário,SS,-,-,-,-,27,2.5,2.5,0,0,0,0,0,0,0,0,86,86,0,0,0,0,0,0,0,0,71,144,71,144,-100,-100,1,Normal,Normal,Low,Normal, Low,Normal
3955,Andrés Martínez,C,-,-,-,-,27,2.0,2.0,0,0,0,0,0,0,0,0,96,96,0,0,0,0,0,0,0,0,62,133,62,133,-100,-100,0,High,Low,Normal,Normal, Normal,Normal
3956,Tsuruki Chikuda,C,Boston,Boston,PBL,MLB,27,2.0,2.0,0,0,-2,-2,0,0,0,0,92,92,0,0,0,0,0,0,0,0,62,117,62,117,0.9,0.0,1,Normal,Normal,High,Normal, Normal,Normal
3959,Natsume Motsuzuki,1B,Boston,Boston,PBL,MLB,27,2.5,2.5,0,0,-3,-2,0,0,0,0,98,100,0,0,0,0,0,0,0,0,96,103,99,103,1.0,0.0,3,Normal,High,Normal,Normal, Normal,Normal
3965,Irwin Smith,RP,Kansas City,Kansas City,PBL,MLB,27,2.5,2.5,0,0,0,0,100,100,98,102,0,0,74,107,74,107,74,107,79,107,0,0,0,0,0.0,1.1,4,Normal,Low,Normal,Low, High,Normal
3966,Jorge Ramírez,DH,St. Louis,St. Louis,PBL,MLB,27,2.5,2.5,0,0,0,0,0,0,0,0,99,99,0,0,0,0,0,0,0,0,99,0,99,0,1.7,0.0,4,Normal,Normal,Normal,Normal, Normal,Normal
3969,Pablo Díaz,1B,Kansas City,Kansas City,PBL,MLB,28,5.0,5.0,0,0,0,0,0,0,0,0,115,115,0,0,0,0,0,0,0,0,119,67,119,67,5.2,0.0,5,Normal,Normal,Normal,Low, Normal,Normal
3970,Jorge Portillo,C,Atlanta,Atlanta,PBL,MLB,27,4.0,4.0,0,0,0,0,0,0,0,0,98,98,0,0,0,0,0,0,0,0,77,96,77,96,4.2,0.0,4,High,Normal,High,Normal, High,Captain
3971,Pablo Aragón,C,-,-,-,-,28,2.0,2.0,0,0,-1,0,0,0,0,0,95,97,0,0,0,0,0,0,0,0,76,87,79,87,-0.6,0.0,3,High,Normal,High,High, Normal,Normal
3972,Yorikane Suzuki,LF,-,-,-,-,27,2.0,2.0,0,0,-1,-1,0,0,0,0,93,93,0,0,0,0,0,0,0,0,92,101,92,101,-100,-100,1,High,Normal,Normal,Normal, Normal,Normal
3975,Yusuke Tanaka,RF,Tampa Bay,Tampa Bay,PBL,MLB,28,4.5,4.5,0,0,0,0,0,0,0,0,115,115,0,0,0,0,0,0,0,0,120,104,120,104,6.0,0.0,5,High,High,Normal,High, High,Normal
3977,Huai-yu Zhu,CF,New Orleans,Miami,PCL,AAA,27,2.0,2.0,0,0,-1,0,0,0,0,0,87,90,0,0,0,0,0,0,0,0,74,133,79,133,-100,-100,0,Normal,Normal,Normal,Normal, High,Normal
3980,Fidde Valckenburgh,SP,-,-,-,-,27,2.0,2.0,0,0,0,0,83,83,69,69,0,0,60,70,60,70,47,70,47,70,0,0,0,0,-100,-100,0,High,Normal,Normal,High, Low,Normal
3984,Bronson Mills,C,Kansas City,Kansas City,PBL,MLB,28,1.0,1.0,0,0,0,0,0,0,0,0,94,94,0,0,0,0,0,0,0,0,60,133,60,133,-0.0,0.0,0,Normal,High,High,Normal, Normal,Captain
3990,Qi-zhen Yang,RP,Cincinnati,Cincinnati,PBL,MLB,28,2.5,2.5,-1,0,0,0,104,106,98,101,0,0,81,94,81,107,78,94,78,107,0,0,0,0,0.0,0.0,2,Normal,Normal,Normal,Normal, Normal,Normal
3993,Luis Salinas,RP,Buffalo,New York,IL,AAA,27,0.5,0.5,1,1,0,0,81,81,80,84,0,0,51,107,51,107,50,107,55,107,0,0,0,0,-100,-100,0,Normal,Normal,Normal,Normal, Low,Normal
3994,Bernaldin Henrich,CF,-,-,-,-,27,2.0,2.0,0,0,0,0,0,0,0,0,80,80,0,0,0,0,0,0,0,0,64,134,64,134,-100,-100,0,High,High,Normal,Normal, Normal,Normal
4004,Magohachi Mori,C,-,-,-,-,28,1.5,1.5,0,0,0,0,0,0,0,0,90,90,0,0,0,0,0,0,0,0,62,112,62,112,-100,-100,0,Normal,High,Normal,Normal, Normal,Normal
4007,See-tong Duan,2B,-,-,-,-,27,1.5,1.5,0,0,0,0,0,0,0,0,89,89,0,0,0,0,0,0,0,0,76,131,76,131,-100,-100,0,High,Normal,High,Normal, Normal,Sparkplug
4010,Awad bin Jabbar,C,-,-,-,-,27,1.0,1.0,0,0,0,0,0,0,0,0,90,90,0,0,0,0,0,0,0,0,60,116,60,116,-100,-100,0,High,Normal,Normal,Normal, Normal,Sparkplug
4034,Roberto Caballero,RF,-,-,-,-,27,1.5,1.5,0,0,0,0,0,0,0,0,82,82,0,0,0,0,0,0,0,0,82,104,82,104,-100,-100,0,High,Normal,Normal,Normal, Normal,Sparkplug
4037,Aaron Adams,SP,-,-,-,-,28,0.5,1.0,0,0,0,0,67,73,60,68,0,0,37,102,40,120,24,102,29,120,0,0,0,0,-100,-100,3,Low,Normal,Normal,Normal, Normal,Normal
4041,Pedro Fernández,C,Columbus,Cleveland,IL,AAA,28,1.5,1.5,0,0,0,0,0,0,0,0,94,94,0,0,0,0,0,0,0,0,63,121,63,121,-100,-100,0,High,Normal,Low,Low, Normal,Normal
4050,Carlos Guerra,SP,New Orleans,Miami,PCL,AAA,27,1.5,1.5,0,0,0,0,82,85,75,81,0,0,60,68,64,68,55,68,65,68,0,0,0,0,-100,-100,0,Normal,Normal,Normal,Normal, Normal,Normal
4051,Carlos Vázquez,SP,Detroit,Detroit,PBL,MLB,28,3.0,3.0,0,2,0,0,109,112,109,114,0,0,88,91,88,110,94,91,94,110,0,0,0,0,0.0,2.1,4,Normal,Normal,Normal,Normal, Normal,Normal
4054,Wan-ling Qin,SP,Buffalo,New York,IL,AAA,28,2.0,2.0,-1,-1,0,0,73,76,59,62,0,0,51,63,51,78,36,63,36,78,0,0,0,0,-100,-100,0,Normal,High,Normal,Normal, Normal,Normal
4057,Ramón Crus,SS,Minnesota,Minnesota,PBL,MLB,28,4.0,4.0,0,0,-2,0,0,0,0,0,105,110,0,0,0,0,0,0,0,0,109,118,116,118,3.5,0.0,4,Normal,High,Normal,Low, Normal,Normal
4061,Luis García,SP,Missoula,Arizona,APP,R,28,1.5,1.5,0,0,0,0,68,76,60,75,0,0,43,69,47,100,36,69,45,100,0,0,0,0,-100,-100,0,Normal,Normal,Low,Normal, Normal,Normal
4070,Daniel Adame,SP,Iowa,Chicago,PCL,AAA,27,2.0,2.0,0,0,0,0,85,86,76,82,0,0,59,92,59,102,50,92,55,102,0,0,0,0,-100,-100,0,High,Normal,High,Low, Normal,Normal
4075,Roberto Ramírez,DH,Midland,Oakland,TEX,AA,27,1.5,1.5,0,0,0,0,0,0,0,0,74,74,0,0,0,0,0,0,0,0,74,0,74,0,-100,-100,0,High,Normal,Normal,Normal, Normal,Normal
4077,Eddie van Zwam,RF,Jacksonville,Miami,SL,AA,27,1.5,1.5,0,0,-1,-1,0,0,0,0,71,71,0,0,0,0,0,0,0,0,70,94,70,94,-100,-100,0,Normal,Normal,Normal,High, Normal,Normal
4088,Hyeon-cheong Kal,RP,-,-,-,-,27,0.5,0.5,0,0,0,0,81,81,65,65,0,0,58,71,58,71,41,71,41,71,0,0,0,0,-100,-100,0,Low,Low,Normal,Normal, Normal,Normal
4098,Halewijn Baldee,2B,-,-,-,-,28,1.5,1.5,0,0,0,0,0,0,0,0,84,84,0,0,0,0,0,0,0,0,71,125,71,125,-100,-100,0,High,Normal,Normal,Normal, Normal,Normal
4104,Ricky Guic,RP,-,-,-,-,30,0.5,0.5,-1,0,0,0,78,78,71,71,0,0,53,83,53,83,45,83,45,83,0,0,0,0,-100,-100,0,Normal,Normal,Normal,Normal, Normal,Normal
4110,Robert Ball,CF,Durham,Tampa Bay,IL,AAA,30,2.0,2.0,0,0,0,-1,0,0,0,0,91,91,0,0,0,0,0,0,0,0,85,122,85,122,-100,-100,5,Normal,Normal,Normal,Low, Normal,Normal
4116,Chris Barton,RP,Mobile,Arizona,SL,AA,28,2.0,2.0,1,1,0,0,0,0,93,96,0,0,0,0,0,0,76,82,76,94,0,0,0,0,-100,-100,0,Normal,Normal,Normal,Normal, Normal,Normal
4120,Domingo Encarnación,RP,-,-,-,-,29,2.0,2.0,0,0,0,0,90,90,91,91,0,0,61,108,61,108,63,108,63,108,0,0,0,0,-100,-100,0,High,Normal,Normal,Normal, Normal,Sparkplug
4128,Paul Peoples,SS,-,-,-,-,30,3.5,3.5,0,0,1,1,0,0,0,0,103,103,0,0,0,0,0,0,0,0,92,151,92,151,1.7,0.0,6,Normal,Normal,Low,High, Low,Selfish
4138,Ricardo García,1B,-,-,-,-,34,1.5,1.5,0,0,0,0,0,0,0,0,88,88,0,0,0,0,0,0,0,0,84,109,84,109,-100,-100,2,Normal,Normal,Normal,Normal, Normal,Normal
4142,Jon Sanders,3B,Tennessee,Chicago,SL,AA,30,0.5,0.5,0,0,-1,-1,0,0,0,0,75,75,0,0,0,0,0,0,0,0,63,148,63,148,-100,-100,0,Normal,Normal,High,Normal, Normal,Normal
4148,Maurice Thomas,RP,-,-,-,-,32,0.5,0.5,0,0,0,0,85,85,78,78,0,0,60,83,60,83,55,83,55,83,0,0,0,0,-100,-100,4,Low,Low,Low,High, Low,Disruptive
4152,Jason Pocoroba,CL,Seattle,Seattle,PBL,MLB,29,2.5,2.5,0,0,0,0,101,106,105,112,0,0,73,121,77,135,79,121,83,135,0,0,0,0,0.0,1.3,5,High,Normal,High,Normal, High,Captain
4177,Manuel Aguilar,SP,-,-,-,-,34,1.5,1.5,-1,-1,0,0,72,72,59,59,0,0,48,64,48,64,36,64,36,64,0,0,0,0,-100,-100,0,Normal,Low,Low,High, Low,Selfish
4178,Pedro Valverde,RP,Seattle,Seattle,PBL,MLB,29,3.0,3.0,0,-2,0,0,0,0,99,109,0,0,0,0,0,0,70,121,84,121,0,0,0,0,0.0,0.6,5,High,Normal,Normal,Normal, Normal,Normal
4181,Bill Fowlow,SP,Texas,Texas,PBL,MLB,29,2.5,3.0,0,0,0,0,104,104,92,93,0,0,85,70,85,74,78,70,78,74,0,0,0,0,0.0,2.0,4,Normal,Normal,Normal,Normal, Low,Normal
4183,Ronald Rawnsley,LF,-,-,-,-,30,1.5,1.5,0,0,-2,-2,0,0,0,0,81,81,0,0,0,0,0,0,0,0,83,71,83,71,-100,-100,0,Normal,High,Normal,Normal, Normal,Normal
4198,Rex Greene,LF,-,-,-,-,32,2.0,2.0,0,0,0,0,0,0,0,0,88,88,0,0,0,0,0,0,0,0,86,101,86,101,0.5,0.0,3,High,Normal,Normal,Low, High,Normal
4204,Juan Pérez,RP,Arizona,Arizona,PBL,MLB,29,2.5,2.5,0,-1,0,0,106,113,96,109,0,0,88,71,91,94,84,71,93,94,0,0,0,0,0.0,0.5,4,Normal,High,Normal,Normal, Normal,Normal
4209,Bruce Edwards,RF,-,-,-,-,34,2.5,2.5,0,0,0,0,0,0,0,0,96,96,0,0,0,0,0,0,0,0,95,123,95,123,0.2,0.0,9,Normal,Normal,Normal,Normal, Low,Normal
4211,Chris McCray,1B,Montreal,Montreal,PBL,MLB,30,2.5,2.5,0,0,-1,-1,0,0,0,0,95,95,0,0,0,0,0,0,0,0,98,61,98,61,3.2,0.0,5,High,Normal,Normal,Normal, High,Normal
4217,Tino Sánchez,CF,Toledo,Detroit,IL,AAA,30,2.0,2.0,0,0,0,0,0,0,0,0,91,91,0,0,0,0,0,0,0,0,74,146,74,146,-100,-100,2,High,Normal,High,Low, High,Captain
4228,Dewey Kobay,RP,-,-,-,-,29,2.0,2.0,0,0,0,0,0,0,88,90,0,0,0,0,0,0,71,74,71,83,0,0,0,0,-100,-100,3,Normal,Normal,Low,High, Low,Selfish
4239,Paul Norman,SS,Durham,Tampa Bay,IL,AAA,30,2.5,2.5,0,0,0,-1,0,0,0,0,93,93,0,0,0,0,0,0,0,0,81,145,81,145,-100,-100,0,Normal,Normal,Normal,Normal, Normal,Normal
4240,Ricardo Soto,RP,-,-,-,-,34,2.5,2.5,-1,-1,0,0,0,0,90,90,0,0,0,0,0,0,62,108,62,108,0,0,0,0,-100,-100,3,Normal,High,Low,Normal, Normal,Normal
4243,David Church,C,New York,New York,PBL,MLB,30,0.5,0.5,0,0,0,0,0,0,0,0,95,95,0,0,0,0,0,0,0,0,62,129,62,129,-0.5,0.0,1,High,Normal,High,Normal, High,Captain
4254,Art Bligh,C,Miami,Miami,PBL,MLB,29,2.5,2.5,0,0,0,-1,0,0,0,0,103,103,0,0,0,0,0,0,0,0,77,117,77,117,0.3,0.0,6,High,Low,Low,Normal, Low,Normal
4256,Justin Miller,SP,Miami,Miami,PBL,MLB,30,2.5,2.5,0,0,0,0,101,101,99,102,0,0,77,100,77,100,77,100,82,100,0,0,0,0,0.0,2.8,5,High,High,Normal,Low, Normal,Normal
4257,Charlie Robbins,RF,-,-,-,-,33,2.0,2.0,0,0,0,0,0,0,0,0,86,86,0,0,0,0,0,0,0,0,85,115,85,115,-100,-100,4,Low,Normal,Normal,Normal, High,Unmotivated
4267,Colt Guzmán,C,Mobile,Arizona,SL,AA,29,1.5,1.5,0,0,0,0,0,0,0,0,96,96,0,0,0,0,0,0,0,0,77,87,77,87,-100,-100,0,Normal,Normal,Normal,Normal, High,Normal
4280,Raúl Zamora,RP,Toronto,Toronto,PBL,MLB,33,2.0,2.0,-2,-2,0,0,0,0,93,96,0,0,0,0,0,0,71,94,76,94,0,0,0,0,0.0,-0.2,9,Normal,High,Normal,Low, Normal,Normal
4283,Art Owens,RP,Montreal,Montreal,PBL,MLB,30,2.0,2.0,-1,-1,0,0,0,0,94,97,0,0,0,0,0,0,68,107,72,107,0,0,0,0,0.0,-0.2,2,High,Normal,Normal,Low, Normal,Normal
4287,Brian Etchells,RP,-,-,-,-,30,2.0,2.0,0,1,0,0,97,97,95,98,0,0,70,108,70,108,69,108,73,108,0,0,0,0,-100,-100,0,Normal,Normal,Normal,Normal, Low,Normal
4289,Jake Anderson,SS,-,-,-,-,30,2.5,2.5,0,0,0,0,0,0,0,0,92,92,0,0,0,0,0,0,0,0,69,169,69,169,0.2,0.0,1,Normal,Low,Low,Low, High,Normal
4292,Andrés Beltrán,LF,-,-,-,-,32,0.5,0.5,0,0,0,0,0,0,0,0,77,77,0,0,0,0,0,0,0,0,70,115,70,115,-100,-100,0,Normal,Normal,High,Normal, Low,Normal
4309,Steve Clow,LF,Durham,Tampa Bay,IL,AAA,30,2.0,2.0,0,0,0,-1,0,0,0,0,92,92,0,0,0,0,0,0,0,0,88,118,88,118,-100,-100,4,High,Normal,Normal,Normal, High,Normal
4318,Victor Ward,3B,-,-,-,-,30,2.5,2.5,0,0,0,0,0,0,0,0,89,89,0,0,0,0,0,0,0,0,82,141,82,141,-100,-100,4,Normal,Low,High,Normal, Normal,Outspoken
4324,Gilberto Guzmán,RP,-,-,-,-,27,1.5,1.5,0,0,0,0,90,90,80,80,0,0,68,74,68,74,60,74,60,74,0,0,0,0,-100,-100,0,Normal,Low,Normal,Normal, Normal,Normal
4327,Randy Dodson,CF,Trenton,New York,EL,AA,30,0.5,0.5,0,0,0,0,0,0,0,0,74,74,0,0,0,0,0,0,0,0,61,120,61,120,-100,-100,0,Normal,Normal,Normal,Normal, High,Normal
4329,Reid Graham,3B,Buffalo,New York,IL,AAA,30,2.0,2.0,0,0,0,-1,0,0,0,0,90,90,0,0,0,0,0,0,0,0,83,144,83,144,-100,-100,0,High,Normal,Normal,Normal, High,Normal
4336,Bill Cunningham,1B,Los Angeles,Los Angeles,PBL,MLB,30,2.5,2.5,0,0,0,-1,0,0,0,0,94,94,0,0,0,0,0,0,0,0,92,97,92,97,3.0,0.0,4,Normal,Normal,Normal,Normal, Normal,Normal
4339,Dan Díaz,C,Salt Lake,Los Angeles,PCL,AAA,29,1.5,1.5,0,0,0,0,0,0,0,0,92,92,0,0,0,0,0,0,0,0,65,108,65,108,-100,-100,1,Normal,Normal,Normal,High, Normal,Normal
4341,Ricardo Muñóz,SS,-,-,-,-,33,3.0,3.0,0,0,-1,-1,0,0,0,0,94,94,0,0,0,0,0,0,0,0,86,137,86,137,1.6,0.0,8,Normal,Normal,Normal,Normal, Normal,Normal
4344,Alfonso Reyna,RP,Pittsburgh,Pittsburgh,PBL,MLB,30,2.5,2.5,0,0,0,0,104,104,100,100,0,0,83,82,83,82,85,82,85,82,0,0,0,0,0.0,0.3,1,Normal,High,Normal,Normal, High,Normal
4350,Brit Cherry,2B,-,-,-,-,29,2.5,2.5,0,0,0,0,0,0,0,0,98,98,0,0,0,0,0,0,0,0,91,115,91,115,-1.7,0.0,4,Low,Normal,Normal,High, Normal,Normal
4357,William Rochelli,SP,Montreal,Montreal,PBL,MLB,29,2.5,2.5,-1,-2,0,0,94,98,87,96,0,0,70,87,74,97,65,87,75,97,0,0,0,0,0.0,0.2,2,Normal,Low,Normal,Normal, Low,Normal
4361,John Roberts,SP,St. Louis,St. Louis,PBL,MLB,29,2.0,2.0,0,0,0,0,92,92,86,89,0,0,68,85,68,85,65,85,69,85,0,0,0,0,0.0,0.1,3,High,Normal,Normal,Normal, Normal,Prankster
4366,Larry Byers,2B,Buffalo,New York,IL,AAA,30,2.0,2.0,0,0,0,0,0,0,0,0,99,99,0,0,0,0,0,0,0,0,95,104,95,104,-100,-100,3,Normal,High,Normal,Low, Normal,Normal
4368,Derrick Reider,RP,Detroit,Detroit,PBL,MLB,32,1.5,1.5,0,0,0,0,91,91,85,88,0,0,64,107,64,107,56,107,61,107,0,0,0,0,0.0,0.4,3,High,Normal,Normal,Normal, High,Normal
4372,Michael O'Neil,1B,-,-,-,-,30,2.0,2.0,0,0,0,0,0,0,0,0,90,90,0,0,0,0,0,0,0,0,94,48,94,48,0.1,0.0,6,Normal,Low,Normal,Normal, Normal,Normal
4374,Jack González,SS,-,-,-,-,30,2.5,2.5,0,0,1,0,0,0,0,0,92,92,0,0,0,0,0,0,0,0,85,133,85,133,-100,-100,0,Low,Normal,Low,High, Low,Disruptive
4378,Jeff Hamm,SP,-,-,-,-,29,2.0,2.0,0,0,0,0,86,93,72,86,0,0,67,56,70,83,56,56,65,83,0,0,0,0,0.0,-0.5,4,Normal,Normal,Normal,Low, Normal,Normal
4381,Miguel López,2B,Trenton,New York,EL,AA,29,1.5,1.5,0,0,1,0,0,0,0,0,87,87,0,0,0,0,0,0,0,0,90,63,90,63,-100,-100,0,High,High,High,Normal, Normal,Captain
4382,Sheng Delgado,RP,-,-,-,-,30,0.5,0.5,-3,-1,0,0,82,82,78,78,0,0,58,74,58,74,58,74,58,74,0,0,0,0,-100,-100,4,Normal,Normal,Low,Low, Low,Normal
4394,Floyd Buchanan,RP,-,-,-,-,33,2.0,2.0,-1,-1,0,0,92,92,85,85,0,0,69,82,69,82,65,82,65,82,0,0,0,0,-100,-100,0,Normal,Normal,Normal,Normal, Low,Normal
4396,Jeremy Romero,SP,-,-,-,-,29,2.5,2.5,-1,-1,0,0,90,90,83,83,0,0,60,120,60,121,49,120,49,121,0,0,0,0,-100,-100,3,Low,Low,Normal,Normal, High,Unmotivated
4413,Pat Thomas,SP,Washington,Washington,PBL,MLB,30,2.5,2.5,1,1,0,0,96,96,84,84,0,0,73,87,73,87,62,87,62,87,0,0,0,0,0.0,-0.8,4,Normal,Normal,Normal,Normal, Normal,Normal
4415,Kevin Kinninmont,SS,Arkansas,Los Angeles,TEX,AA,30,2.0,2.0,0,0,1,-1,0,0,0,0,86,86,0,0,0,0,0,0,0,0,71,143,71,143,-100,-100,0,Normal,Normal,High,Normal, Normal,Normal
